date,sum_open_interest,sum_open_interest_value,toptrader_ls_ratio,global_ls_ratio,taker_ls_vol_ratio,n_obs
2023-07-24,769989.46000000,1424272603.84580000,1.18528641,2.17454126,1.20742632,288
2023-07-25,744571.67800000,1382907811.76262660,1.21659325,1.89578928,0.80720050,288
2023-07-26,754644.35600000,1411720743.21276000,1.25790088,1.64841950,0.91608964,288
2023-07-27,778046.55300000,1447010979.26940000,1.27049174,1.80609443,2.71713366,288
2023-07-28,815652.11700000,1528328154.22875000,1.24999164,1.53698902,0.48816194,288
2023-07-29,814095.83600000,1530931642.47308000,1.27419546,1.44975014,0.77445542,288
2023-07-30,767059.40800000,1427431425.73186830,1.26323079,1.82513236,0.89317436,288
2023-07-31,790485.46700000,1467259599.57205000,1.25211009,2.00450262,0.54528546,288
2023-08-01,766872.34200000,1434634363.40989070,1.25273921,1.88182375,1.19564566,288
2023-08-02,781537.88000000,1436091485.25760000,1.32047569,2.25774106,0.26989017,288
2023-08-03,782386.45800000,1436048016.50105140,1.31858279,2.15420288,0.28293553,288
2023-08-04,775531.75200000,1419230861.47752000,1.30198201,2.35348673,2.39747896,288
2023-08-05,773370.83000000,1420202392.55529140,1.31498677,2.21222428,2.24301688,288
2023-08-06,791742.63100000,1448247703.19889000,1.29412826,2.28984648,1.17797342,288
2023-08-07,839094.88300000,1533437507.73367000,1.27683663,2.43549685,0.48917853,288
2023-08-08,794608.15900000,1474159746.20622700,1.33336127,1.50231219,0.55604897,288
2023-08-09,791816.70000000,1469207968.68300000,1.31027413,1.65507975,0.29553869,288
2023-08-10,790863.70500000,1464771735.33705100,1.30109262,1.77948626,0.74320861,288
2023-08-11,773004.79100000,1428924519.74208120,1.29189322,1.90680455,0.99626868,288
2023-08-12,775579.67900000,1433930489.51915000,1.28389817,1.92426936,1.61347775,288
2023-08-13,782354.42200000,1439477371.67046000,1.31265194,2.09797251,2.63211937,288
2023-08-14,786327.93000000,1450641355.10190000,1.28243730,2.14370482,0.73498539,288
2023-08-15,844484.85200000,1543676593.55950140,1.27572592,2.47400531,1.22079914,288
2023-08-16,872562.88900000,1577819329.25391390,1.29677475,2.53976861,0.59809842,288
2023-08-17,788530.17800000,1326914927.63306000,0.93667052,2.07239485,0.77540093,288
2023-08-18,695775.94200000,1155512194.46455030,1.02020920,2.06419576,0.88969106,288
2023-08-19,634030.24000000,1057568780.62240000,1.11170944,2.16932689,1.42540272,288
2023-08-20,650488.41000000,1094682937.06684180,1.12838510,2.01791731,0.53126632,288
2023-08-21,638468.02900000,1063822528.10088180,1.13846050,2.07011849,1.09818785,288
2023-08-22,611322.79900000,999402738.26118000,1.09303763,2.30043457,1.42996371,288
2023-08-23,604227.44900000,1013531122.95260000,1.11261764,1.78314387,0.61159185,288
2023-08-24,595263.67100000,987390936.16808890,1.09679334,2.10297240,0.99929439,288
2023-08-25,602435.37000000,996123822.50759730,1.08972951,2.04895133,1.93609199,288
2023-08-26,602464.19800000,991715660.26236240,1.05587570,2.09303435,2.74165002,288
2023-08-27,604952.78600000,1002376518.76270000,1.05781670,2.03388446,0.36454043,288
2023-08-28,603906.06500000,998724423.45617900,1.06290359,2.04171929,1.67009254,288
2023-08-29,635091.89400000,1097108545.04712000,1.10139618,1.32297165,1.95720024,288
2023-08-30,621398.59100000,1058888055.00764000,1.10283360,1.61509512,1.20545671,288
2023-08-31,591107.33300000,972760533.85445940,1.11236148,2.18501801,1.68833171,288
2023-09-01,580516.26500000,945800319.58860000,1.08644290,2.31139341,0.87429467,288
2023-09-02,572481.47300000,936344972.42407000,1.07596069,2.20893433,0.72081032,288
2023-09-03,565138.38600000,924351646.90932000,1.07814828,2.17487117,1.24512432,288
2023-09-04,575034.72800000,937702556.87082240,1.07696054,2.26038305,1.63787889,288
2023-09-05,597398.85600000,975713629.53912000,1.05018182,2.21542652,1.26290755,288
2023-09-06,600184.94800000,980102020.08400000,1.05583087,2.30562454,0.55872989,288
2023-09-07,608771.49000000,1001897855.09730000,1.10111467,1.98799875,1.84690660,288
2023-09-08,607648.24700000,993817657.73393540,1.08649571,2.15304454,1.30268111,288
2023-09-09,613720.38400000,1002971196.45021690,1.09086427,2.06041880,0.68948800,288
2023-09-10,607976.14800000,983212946.78412000,1.07865826,2.31448674,1.54870096,288
2023-09-11,676718.45900000,1048483968.20585360,1.01767272,2.44370776,1.05897168,288
2023-09-12,650895.71400000,1037022415.23516150,1.00414519,2.01557342,1.28942632,285
2023-09-13,665880.59800000,1069996874.12022000,1.00201000,1.92922088,1.52872976,288
2023-09-14,665442.07800000,1081822495.04616000,1.02325950,1.64768779,2.86207951,288
2023-09-15,668603.25000000,1097647224.56071260,1.06506960,1.56413083,1.22682321,288
2023-09-16,658208.23300000,1075462170.26968480,1.05913275,1.67439058,0.72331105,288
2023-09-17,644292.06900000,1045370324.87319000,1.04563351,1.90251130,1.96967315,288
2023-09-18,667656.04500000,1092158365.94916800,1.03628412,1.63372431,0.59655017,288
2023-09-19,651206.86200000,1069773938.92844140,1.02329489,1.71542432,1.33329663,288
2023-09-20,658000.97600000,1067152562.88656000,1.01818838,2.21271948,0.89217456,288
2023-09-21,687346.53200000,1088138294.80920000,1.03206475,2.48099607,0.35123732,288
2023-09-22,673657.10600000,1072764275.24715380,1.02233369,2.38749451,0.74091355,288
2023-09-23,690585.42500000,1100206169.83875000,1.02244409,2.32551870,3.11703615,288
2023-09-24,690837.03800000,1091819579.96634000,1.03060461,2.44870220,1.14094395,288
2023-09-25,718577.51500000,1141356219.83725900,1.04569049,2.34877149,1.69041373,288
2023-09-26,720318.17200000,1147185923.90892000,1.07706413,2.33645553,0.70477391,288
2023-09-27,686845.92800000,1097377097.97955700,1.09429933,2.21587582,1.23277914,288
2023-09-28,738474.54500000,1219733638.71715100,1.09923040,1.26558527,0.87438852,288
2023-09-29,730875.71000000,1218309275.57265600,1.08774984,1.27160989,1.17985992,288
2023-09-30,748260.00600000,1250125474.62426000,1.07353046,1.30432790,0.94634402,288
2023-10-01,717165.03700000,1243481015.35785130,1.15064537,1.22799097,1.37762169,288
2023-10-02,680500.32400000,1132441004.17812000,1.13610798,1.75430701,1.16249890,288
2023-10-03,680390.41100000,1126529207.39681000,1.13772847,1.89270565,0.49193846,288
2023-10-04,691193.15100000,1137898091.61159560,1.15067525,2.09372234,0.36010953,288
2023-10-05,720989.15600000,1161369332.48480000,1.16509908,2.54412829,0.98353866,288
2023-10-06,734152.09200000,1207122235.75008000,1.21071362,1.89858325,1.02403355,288
2023-10-07,718219.20000000,1173174736.89383670,1.21425134,2.17417751,0.82643001,288
2023-10-08,747277.08600000,1219714970.78190950,1.24470661,2.25634754,1.49076372,288
2023-10-09,766866.50700000,1211288653.80171000,1.21821754,2.75307258,0.85565994,288
2023-10-10,795632.28200000,1246652353.69734000,1.21733343,2.95117652,0.73315507,288
2023-10-11,807052.70100000,1262351482.26915000,1.23958356,2.94581133,0.71728032,288
2023-10-12,835596.92000000,1284713552.56160000,1.22764227,2.97724265,0.58154083,288
2023-10-13,817249.07500000,1267023184.85926100,1.19483241,2.82366824,0.44360169,288
2023-10-14,800318.58200000,1244223286.69212000,1.24596619,2.67293518,0.90134664,288
2023-10-15,799306.54100000,1243976755.88912000,1.25970684,2.69380804,0.97575845,288
2023-10-16,763883.41000000,1221846791.96320000,1.27714140,2.12703695,1.95877956,288
2023-10-17,761331.20500000,1190897897.50352400,1.32880463,2.58603766,0.78515344,288
2023-10-18,757509.33700000,1183987093.73100000,1.31618252,2.47769403,1.74727904,288
2023-10-19,766808.91600000,1200766820.36395050,1.29302202,2.52809640,0.54412125,288
2023-10-20,790149.88500000,1266470385.88704680,1.31125379,1.78542091,0.44061592,288
2023-10-21,790661.80200000,1287070907.76768000,1.32096326,1.60254557,1.06124184,288
2023-10-22,804528.14900000,1335722560.34785840,1.36568429,1.41854024,0.70505490,288
2023-10-23,737924.83100000,1302709119.62412950,1.40021083,1.42788049,0.99066634,288
2023-10-24,689851.20600000,1228805511.65808630,1.42668752,1.45392833,0.72425079,288
2023-10-25,706904.42900000,1262319238.86530000,1.41504969,1.49044308,0.95110272,288
2023-10-26,717949.86900000,1293607395.80350140,1.42583408,1.51558268,0.76129888,288
2023-10-27,709071.90500000,1263025283.01665140,1.40578656,1.49360362,0.80813664,288
2023-10-28,701152.67500000,1245653643.56551300,1.39278247,1.59269228,1.30603498,288
2023-10-29,717990.04200000,1289243080.85559560,1.37173557,1.44071017,1.18647999,288
2023-10-30,741431.86500000,1342188506.91105940,1.39121502,1.48443500,1.23901396,288
2023-10-31,757974.08500000,1377361067.39694380,1.42714830,1.36251813,2.31146379,288
2023-11-01,798665.08000000,1474687150.31520000,1.43465304,1.14143032,0.60985279,288
2023-11-02,745873.10800000,1342462148.54540560,1.45773361,1.71515468,0.99686506,288
2023-11-03,753123.35500000,1380776359.05700000,1.39893203,1.31888326,0.94543052,288
2023-11-04,786321.12000000,1458814183.43935750,1.40309138,1.05716672,0.70759191,288
2023-11-05,793667.47900000,1503043481.70187280,1.42069061,1.07397324,1.67823275,288
2023-11-06,807167.19800000,1534079781.89078660,1.34000146,1.17887441,1.33512600,288
2023-11-07,762971.06200000,1439992324.24636580,1.32521160,1.25825345,1.86557972,288
2023-11-08,776993.01100000,1469721129.95705000,1.28060203,1.23097662,0.88163794,288
2023-11-09,826146.45000000,1761926318.67363980,1.46106443,1.01680541,1.18413768,288
2023-11-10,822220.89600000,1709553464.75424000,1.64728184,1.25898812,1.06558469,288
2023-11-11,807631.46800000,1657502061.77640000,1.62035596,1.53412353,1.20189013,288
2023-11-12,793537.84900000,1623094380.96611000,1.58653983,1.62394859,0.92089296,288
2023-11-13,816409.74300000,1682463578.67369030,1.60263588,1.43083873,0.85789790,288
2023-11-14,783683.05300000,1552596709.37027620,1.50047190,1.81950637,0.97268682,288
2023-11-15,784918.47700000,1617151374.01508670,1.48261382,1.51799579,1.45018004,288
2023-11-16,763445.23100000,1499179493.29829650,1.45834785,2.13497679,1.63406374,288
2023-11-17,780540.92200000,1527819132.30728130,1.45297796,2.18506998,0.69797416,288
2023-11-18,812657.86700000,1594422382.95510500,1.42088632,2.02306644,1.11156748,288
2023-11-19,805924.46400000,1621657028.72688000,1.44735962,1.78101944,0.88372180,288
2023-11-20,828586.00800000,1675898961.20780400,1.43646589,1.43686028,0.93080783,288
2023-11-21,799760.80400000,1553703311.53884000,1.53529834,1.77499363,1.19576797,288
2023-11-22,892376.43000000,1842304020.13274740,1.43660888,1.00088472,0.58208389,288
2023-11-23,891861.47300000,1838795391.95775000,1.50831578,1.03489496,1.31824940,288
2023-11-24,879861.86500000,1830192374.42175030,1.54533807,1.05528880,1.57727266,288
2023-11-25,859039.14400000,1790393696.75327970,1.54943418,1.14103588,0.67838535,288
2023-11-26,818866.89800000,1689617202.65728000,1.55727557,1.32297145,0.79387839,288
2023-11-27,845379.97600000,1714191861.69527720,1.48680471,1.73534181,0.44096249,288
2023-11-28,838942.76700000,1717720510.24874540,1.52939075,1.30272109,0.71717945,288
2023-11-29,833550.53000000,1689206820.05560000,1.53414810,1.56778486,0.86303981,288
2023-11-30,834297.74900000,1711853836.28565000,1.54121948,1.41647942,0.45091848,288
2023-12-01,867486.62500000,1808536115.80000000,1.50903523,1.00802187,1.15004815,288
2023-12-02,912313.16300000,1975774127.20291610,1.53721574,0.95558223,1.08138089,288
2023-12-03,911798.83000000,1997695273.68235230,1.60938025,1.03708687,0.50060909,288
2023-12-04,871289.99800000,1955020246.75525900,1.63648863,1.20999725,1.60966059,288
2023-12-05,840479.21300000,1929686717.96469140,1.64038699,1.29616039,0.94756787,288
2023-12-06,805733.83600000,1797143769.76879950,1.63978896,1.54581460,0.83121872,288
