snap_ts,instrument_name,underlying_price,mark_price,mark_iv,open_interest,bid_price,ask_price,volume,volume_usd
1788239347308,ETH-25DEC26-1500-P,2498.18,0.008445,61.96,15816.0,0.008,0.009,68.0,1466.19
1788239347308,ETH-26MAR27-4200-C,2523.13,0.031666,57.25,2924.0,0.0305,0.033,0.0,0.0
1788239347308,ETH-30OCT26-1000-C,2487.96,0.59842,88.07,0.0,0.5965,0.6005,0.0,0.0
1788239347308,ETH-25JUN27-3100-P,2551.57,0.343048,55.69,0.0,0.332,0.355,0.0,0.0
1788239347308,ETH-25SEP26-9000-P,2482.76,2.625075,136.33,0.0,2.6095,2.6395,0.0,0.0
1788239347308,ETH-2SEP26-2360-P,2474.8,0.000399,48.37,257.0,0.0003,0.0005,389.0,1016.4
1788239347308,ETH-4SEP26-1800-P,2475.6,1.7e-05,108.54,1878.0,,0.0001,0.0,0.0
1788239347308,ETH-2SEP26-2200-P,2474.8,1.6e-05,71.72,18.0,,0.0001,2.0,1.47
1788239347308,ETH-2SEP26-2660-C,2474.8,0.000185,60.14,5.0,0.0001,0.0003,5.0,3.69
1788239347308,ETH-27NOV26-2700-C,2493.76,0.067954,51.46,4.0,0.0675,0.0685,1.0,166.74
1788239347308,ETH-18SEP26-2200-P,2479.6,0.00688,49.91,3592.0,0.0065,0.0075,117.0,2228.45
1788239347308,ETH-25SEP26-2300-P,2482.76,0.020498,49.36,5489.0,0.02,0.021,656.0,39088.58
1788239347308,ETH-25JUN27-2100-P,2551.53,0.106658,56.11,585.0,0.105,0.1085,0.0,0.0
1788239347308,ETH-4SEP26-2080-C,2475.6,0.16001,78.1,102.0,0.157,0.163,0.0,0.0
1788239347308,ETH-25DEC26-1000-C,2498.18,0.601486,77.79,55.0,0.5985,0.604,0.0,0.0
1788239347308,ETH-25DEC26-2800-P,2498.18,0.192583,51.95,2528.0,0.191,0.1925,42.0,20176.86
1788239347308,ETH-27NOV26-3100-C,2493.76,0.032393,53.16,2.0,0.032,0.033,0.0,0.0
1788239347308,ETH-30OCT26-1800-P,2488.0,0.006897,56.89,1261.0,0.0065,0.0075,1.0,18.44
